id;type;release_year;runtime;genres;genres.1;genres.2;genres.3;genres.4;genres.5;genres.6;genres.7;genres.8;genres.9;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm945831;MOVIE;2020;44;animation, family;animation;family;;;;;;;;;;3,397;7,7
tm916008;MOVIE;2020;18;documentation, music;documentation;music;;;;;;;;;;2,385;6,2
tm833361;MOVIE;2019;23;animation, family;animation;family;;;;;;;;;;1,873;7
tm922943;MOVIE;2020;59;documentation, sport;documentation;sport;;;;;;;;;;1,168;
tm837042;MOVIE;2019;120;documentation, music;documentation;music;;;;;;;;;;1,701;7
tm918704;MOVIE;2019;29;drama, fantasy;drama;fantasy;;;;;;;;;;1,565;
tm989205;MOVIE;2019;76;documentation, music;documentation;music;;;;;;;;;;2,059;
tm919210;MOVIE;2020;136;drama, comedy;drama;comedy;;;;;;;;;;2,663;6,8
tm1041549;MOVIE;2020;126;romance, comedy;romance;comedy;;;;;;;;;;1,999;
tm826983;MOVIE;2019;80;thriller, crime;thriller;crime;;;;;;;;;;1,841;6,1
ts343404;SHOW;2022;48;crime, drama;crime;drama;;;;;;;;;;3,592;
